Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771973589	1	1014	4196	0	260448	6592	0	55	0	4067	39	5100	46	0	3	1	32
1771973591	3	1013	4196	0	260448	6592	0	55	0	18755	158	35986	182	0	10	1	32
1771973593	5	1013	4196	0	260448	6592	0	55	0	20692	171	37921	197	0	18	1	32
1771973595	7	1013	4196	0	260448	6592	0	55	0	22640	187	40761	218	0	25	1	32
1771973597	9	1014	4196	0	260448	6592	0	55	0	28400	213	60853	253	0	33	1	32
1771973599	11	1013	4196	0	260448	6592	0	55	0	30198	226	62995	269	0	41	1	32
1771973601	13	1014	4196	0	260448	6592	0	55	0	31424	233	64773	279	0	49	1	32
1771973603	15	1007	4196	0	260448	6592	0	55	0	37083	259	84420	313	0	57	1	32
1771973605	17	1013	4196	0	260448	6592	0	55	0	41227	293	89230	348	0	64	1	32
1771973607	19	1013	4196	0	260448	6592	0	55	0	42277	297	90614	354	0	72	1	32
1771973609	21	1013	4196	0	260448	6592	0	55	0	65759	383	122472	438	0	80	1	32
1771973611	23	1014	4196	0	260448	6592	0	55	0	77949	438	131092	488	0	88	1	32
1771973613	25	1013	4196	0	260448	6592	0	55	0	79026	446	132144	497	0	95	1	32
1771973615	27	1014	4196	0	260448	6592	0	55	0	97589	517	157982	575	0	102	1	32
1771973617	29	1013	4196	0	260448	6592	0	55	0	99072	525	169142	587	0	110	1	32
1771973619	31	1013	4196	0	260448	6592	0	55	0	100916	539	171280	603	0	118	1	32
1771973621	33	1013	4196	0	260448	6592	0	55	0	108941	586	193789	657	0	126	1	32
1771973623	35	1014	4196	0	260448	6592	0	55	0	110543	596	195533	669	0	133	1	32
1771973625	37	1013	4196	0	260448	6592	0	55	0	114543	628	200199	702	0	141	1	32
1771973627	39	1014	4196	0	260448	6592	0	55	0	119584	647	219392	729	0	149	1	32
1771973629	41	1013	4196	0	260448	6592	0	55	0	127776	680	224429	769	0	157	1	32
1771973631	43	1014	4196	0	260448	6592	0	55	0	131766	711	228911	801	0	165	1	32
1771973633	45	1015	4196	0	260448	6592	0	55	0	143819	810	255938	910	0	172	1	32
1771973635	47	1013	4196	0	260448	6592	0	55	0	151866	883	265483	990	0	180	1	32
1771973637	49	1006	4196	0	260448	6592	0	55	0	153649	895	267610	1005	0	187	1	32
1771973639	51	1014	4196	0	260448	6592	0	55	0	159895	928	288058	1047	0	195	1	32
1771973641	53	1014	4196	0	260448	6592	0	55	0	164087	961	293302	1086	0	203	1	32
1771973643	55	1013	4196	0	260448	6592	0	55	0	166001	974	295230	1101	0	211	1	32
1771973645	57	1013	4196	0	260448	6592	0	55	0	174007	1021	322026	1157	0	219	1	32
1771973647	59	1013	4196	0	260448	6592	0	55	0	175571	1028	328905	1167	0	226	1	32
1771973649	61	1015	4196	0	260448	6592	0	55	0	177415	1042	331043	1183	0	234	1	32
1771973651	63	1014	4196	0	260448	6592	0	55	0	185584	1091	353828	1241	0	242	1	32
1771973653	65	1013	4196	0	260448	6592	0	55	0	187318	1103	355572	1253	0	250	1	32
1771973655	67	1013	4196	0	260448	6592	0	55	0	191980	1143	361190	1295	0	258	1	32
1771973657	69	1013	4196	0	260448	6592	0	55	0	197738	1169	381280	1330	0	265	1	32
1771973659	71	1013	4196	0	260448	6592	0	55	0	199602	1183	383422	1346	0	272	1	32
1771973661	73	1013	4196	0	260448	6592	0	55	0	203360	1211	387694	1375	0	280	1	32
1771973663	75	1014	4196	0	260448	6592	0	55	0	209109	1238	407341	1409	0	288	1	32
1771973665	77	1006	4196	0	260448	6592	0	55	0	213253	1272	412151	1444	0	296	1	32
1771973667	79	1014	4196	0	260448	6592	0	55	0	214303	1276	413535	1450	0	304	1	32
1771973669	81	1014	4196	0	260448	6592	0	55	0	220138	1305	433482	1487	0	311	1	32
1771973671	83	1002	4196	0	260448	6592	0	55	0	224128	1336	437964	1519	0	319	1	32
1771973673	85	1014	4196	0	260448	6592	0	55	0	225730	1346	439708	1531	0	327	1	32
1771973675	87	1015	4196	0	260448	6592	0	55	0	233997	1397	462611	1589	0	335	1	32
1771973677	89	1014	4196	0	260448	6592	0	55	0	235047	1401	463995	1595	0	342	1	32
1771973679	91	1014	4196	0	260448	6592	0	55	0	236891	1415	466133	1611	0	350	1	32
1771973681	93	1002	4196	0	260448	6592	0	55	0	244784	1460	488358	1663	0	357	1	32
1771973683	95	1014	4196	0	260448	6592	0	55	0	246386	1470	490102	1675	0	365	1	32
1771973685	97	1014	4196	0	260448	6592	0	55	0	250386	1502	494768	1708	0	373	1	32
1771973687	99	1014	4196	0	260448	6592	0	55	0	255991	1528	514515	1741	0	381	1	32
1771973689	101	1014	4196	0	260448	6592	0	55	0	264203	1561	519556	1781	0	389	1	32
1771973691	103	1014	4196	0	260448	6592	0	55	0	268196	1592	524041	1813	0	396	1	32
1771973693	105	1004	4196	0	260448	6592	0	55	0	273855	1618	543688	1847	0	404	1	32
1771973695	107	1013	4196	0	260448	6592	0	55	0	277855	1650	548354	1880	0	412	1	32
1771973697	109	1014	4196	0	260448	6592	0	55	0	278905	1654	549738	1886	0	420	1	32
1771973699	111	1014	4196	0	260448	6592	0	55	0	284740	1683	569685	1923	0	428	1	32
1771973701	113	1014	4196	0	260448	6592	0	55	0	288774	1715	574385	1956	0	435	1	32
1771973703	115	1014	4196	0	260448	6592	0	55	0	290950	1732	576677	1974	0	443	1	32
1771973705	117	1014	4196	0	260448	6592	0	55	0	298424	1777	583163	2022	0	450	1	32
1771973707	119	1014	4196	0	260448	6592	0	55	0	301716	1801	611318	2051	0	458	1	32
1771973709	121	1013	4196	0	260448	6592	0	55	0	304500	1826	614430	2080	0	466	1	32
1771973711	123	1013	4196	0	260448	6592	0	55	0	312895	1877	637081	2136	0	474	1	32
1771973713	125	1014	4196	0	260448	6592	0	55	0	314809	1890	639009	2151	0	481	1	32
1771973715	127	1014	4196	0	260448	6592	0	55	0	319411	1929	644267	2190	0	489	1	32
1771973717	129	1013	4196	0	260448	6592	0	55	0	325169	1955	664357	2225	0	497	1	32
1771973719	131	1013	4196	0	260448	6592	0	55	0	327033	1969	666499	2241	0	505	1	32
1771973721	133	1006	4196	0	260448	6592	0	55	0	330791	1997	670771	2270	0	513	1	32
1771973723	135	1014	4196	0	260448	6592	0	55	0	332459	2008	672609	2283	0	520	1	32
1771973725	137	1013	4196	0	260448	6592	0	55	0	340594	2057	695228	2339	0	528	1	32
1771973727	139	1007	4196	0	260448	6592	0	55	0	341644	2061	696612	2345	0	535	1	32
1771973729	141	1014	4196	0	260448	6592	0	55	0	343554	2076	698750	2361	0	543	1	32
1771973731	143	1014	4196	0	260448	6592	0	55	0	357944	2141	724976	2429	0	551	1	32
1771973733	145	1015	4196	0	260448	6592	0	55	0	376996	2207	738640	2489	0	559	1	32
1771973735	147	1013	4196	0	260448	6592	0	55	0	382895	2245	743528	2525	0	566	1	32
1771973737	149	1014	4196	0	260448	6592	0	55	0	387936	2264	762721	2552	0	574	1	32
1771973739	151	1014	4196	0	260448	6592	0	55	0	389780	2278	764859	2568	0	582	1	32
1771973741	153	1013	4196	0	260448	6592	0	55	0	393538	2306	769131	2597	0	590	1	32
1771973743	155	1014	4196	0	260448	6592	0	55	0	399131	2331	788684	2630	0	598	1	32
1771973745	157	1013	4196	0	260448	6592	0	55	0	403131	2363	793350	2663	0	604	1	32
1771973747	159	1013	4196	0	260448	6592	0	55	0	404181	2367	794734	2669	0	612	1	32
1771973749	161	996	4196	0	260448	6592	0	55	0	416364	2415	817580	2730	0	620	1	32
1771973751	163	1013	4196	0	260448	6592	0	55	0	420122	2443	821852	2759	0	628	1	32
1771973753	165	1014	4196	0	260448	6592	0	55	0	421790	2454	823690	2772	0	636	1	32
1771973755	167	1006	4196	0	260448	6592	0	55	0	427889	2487	844253	2813	0	644	1	32
1771973757	169	1014	4196	0	260448	6592	0	55	0	431107	2509	847977	2836	0	651	1	32
