Time,wtime,pss,rss,swap,vmem,rchar,read_bytes,wchar,write_bytes,rx_bytes,rx_packets,tx_bytes,tx_packets,stime,utime,nprocs,nthreads
1771971310,0,277939,280968,0,1506372,6592,0,93,0,2239,24,2993,28,0,0,1,1
1771971312,2,1277395,2557408,0,3012744,6592,0,93,0,14781,152,17597,163,0,0,2,2
1771971314,4,1277395,2557408,0,3012744,6592,0,93,0,20222,180,22018,198,0,0,2,2
1771971316,6,1277372,2557408,0,3012744,6592,0,93,0,23222,203,40802,227,0,0,2,2
1771971318,8,1277395,2557408,0,3012744,6592,0,93,0,24451,210,42583,237,0,0,2,2
1771971320,10,1277395,2557408,0,3012744,6592,0,93,0,29100,228,45872,260,0,0,2,2
1771971322,12,1277395,2557408,0,3012744,6592,0,93,0,33730,261,66348,298,0,0,2,2
1771971324,14,1277394,2557408,0,3012744,6592,0,93,0,35088,270,68220,309,0,0,2,2
1771971326,16,1277394,2557408,0,3012744,6592,0,93,0,36932,284,70292,324,0,0,2,2
1771971328,18,1277395,2557408,0,3012744,6592,0,93,0,42347,309,89945,356,0,0,2,2
1771971330,20,1277395,2557408,0,3012744,6592,0,93,0,44191,323,92017,371,0,0,2,2
1771971332,22,1277395,2557408,0,3012744,6592,0,93,0,45241,327,93401,377,0,0,2,2
1771971334,24,1277395,2557408,0,3012744,6592,0,93,0,49672,345,96782,399,0,0,2,2
1771971336,26,1277395,2557408,0,3012744,6592,0,93,0,52434,365,115060,423,0,0,2,2
1771971338,28,1277395,2557408,0,3012744,6592,0,93,0,53726,373,116838,433,0,0,2,2
1771971340,30,1277395,2557408,0,3012744,6592,0,93,0,55570,387,118910,448,0,0,2,2
1771971342,32,1277395,2557408,0,3012744,6592,0,93,0,67025,426,141002,499,0,0,2,2
1771971344,34,1277395,2557408,0,3012744,6592,0,93,0,68559,438,143174,513,0,0,2,2
1771971346,36,1277395,2557408,0,3012744,6592,0,93,0,82438,584,159329,666,0,0,2,2
1771971348,38,1277394,2557408,0,3012744,6592,0,93,0,88770,619,179905,710,0,0,2,2
1771971350,40,1277394,2557408,0,3012744,6592,0,93,0,90351,629,181818,722,0,0,2,2
1771971352,42,1277394,2557408,0,3012744,6592,0,93,0,93811,652,185838,749,0,0,2,2
1771971354,44,1277395,2557408,0,3012744,6592,0,93,0,95963,671,188464,770,0,0,2,2
1771971356,46,1277395,2557408,0,3012744,6592,0,93,0,100358,685,192418,789,0,0,2,2
1771971358,48,1277395,2557408,0,3012744,6592,0,93,0,102914,705,209795,813,0,0,2,2
1771971360,50,1277386,2557408,0,3012744,6592,0,93,0,104767,720,212190,830,0,0,2,2
1771971362,52,1277395,2557408,0,3012744,6592,0,93,0,106115,727,213760,839,0,0,2,2
1771971364,54,1277395,2557408,0,3012744,6592,0,93,0,135397,955,2775443,1080,0,0,2,2
1771971366,56,1277395,2557408,0,3012744,6592,0,93,0,136447,959,2776827,1086,0,0,2,2
1771971368,58,1277395,2557408,0,3012744,6592,0,93,0,138291,973,2778965,1102,0,0,2,2
1771971370,60,1277395,2557408,0,3012744,6592,0,93,0,144062,1001,2799266,1138,0,0,2,2
1771971372,62,1277394,2557408,0,3012744,6592,0,93,0,145112,1005,2800650,1144,0,0,2,2
1771971374,64,1277394,2557408,0,3012744,6592,0,93,0,147668,1028,2803840,1171,0,0,2,2
1771971376,66,1277395,2557408,0,3012744,6592,0,93,0,151910,1041,2806616,1188,0,0,2,2
1771971378,68,1277395,2557408,0,3012744,6592,0,93,0,154868,1064,2825358,1217,0,0,2,2
1771971380,70,1277395,2557408,0,3012744,6592,0,93,0,156993,1082,2828301,1240,0,0,2,2
1771971382,72,1277395,2557408,0,3012744,6592,0,93,0,162112,1123,2834170,1284,0,0,2,2
1771971384,74,1277395,2557408,0,3012744,6592,0,93,0,175347,1236,2862483,1408,0,0,2,2
1771971386,76,1277395,2557408,0,3012744,6592,0,93,0,176988,1246,2864234,1420,0,0,2,2
1771971388,78,1277395,2557408,0,3012744,6592,0,93,0,179302,1265,2866998,1443,0,0,2,2
1771971390,80,1277395,2557408,0,3012744,6592,0,93,0,183428,1278,2869988,1461,0,0,2,2
1771971392,82,1277395,2557408,0,3012744,6592,0,93,0,185704,1293,2888038,1481,0,0,2,2
1771971394,84,1277395,2557408,0,3012744,6592,0,93,0,211353,1384,2906354,1563,0,0,2,2
1771971396,86,1277395,2557408,0,3012744,6592,0,93,0,214303,1394,2907960,1572,0,0,2,2
