Time,wtime,pss,rss,swap,vmem,rchar,read_bytes,wchar,write_bytes,rx_bytes,rx_packets,tx_bytes,tx_packets,stime,utime,nprocs,nthreads
1771971665,0,276491,279592,0,2006372,6592,0,92,0,2707,28,3461,31,0,0,1,1
1771971667,2,1802311,3607408,0,4012744,6592,0,92,0,13767,113,29993,128,0,1,2,2
1771971669,4,1802311,3607408,0,4012744,6592,0,92,0,15770,129,32542,148,0,1,2,2
1771971671,6,1802310,3607408,0,4012744,6592,0,92,0,16820,133,33926,154,0,1,2,2
1771971673,8,1802311,3607408,0,4012744,6592,0,92,0,22530,164,38552,192,0,1,2,2
1771971675,10,1802316,3607408,0,4012744,6592,0,92,0,28334,219,61004,255,0,1,2,2
1771971677,12,1802311,3607408,0,4012744,6592,0,92,0,30119,231,63133,270,0,1,2,2
1771971679,14,1802309,3607408,0,4012744,6592,0,92,0,33055,253,66259,297,0,1,2,2
1771971681,16,1802310,3607408,0,4012744,6592,0,92,0,38775,281,86339,333,0,1,2,2
1771971683,18,1802310,3607408,0,4012744,6592,0,92,0,42730,309,90608,364,0,1,2,2
1771971685,20,1802310,3607408,0,4012744,6592,0,92,0,44267,321,92783,378,0,1,2,2
1771971687,22,1802311,3607408,0,4012744,6592,0,92,0,48214,331,95376,392,0,1,2,2
1771971689,24,1802311,3607408,0,4012744,6592,0,92,0,51640,359,114828,426,0,1,2,2
1771971691,26,1802310,3607408,0,4012744,6592,0,92,0,52932,367,116606,436,0,1,2,2
1771971693,28,1802310,3607408,0,4012744,6592,0,92,0,54776,381,118744,452,0,1,2,2
1771971695,30,1802310,3607408,0,4012744,6592,0,92,0,60125,405,138331,483,0,1,2,2
1771971697,32,1802311,3607408,0,4012744,6592,0,92,0,61175,409,139715,489,0,1,2,2
1771971699,34,1802309,3607408,0,4012744,6592,0,92,0,63261,427,142247,509,0,1,2,2
1771971701,36,1802310,3607408,0,4012744,6592,0,92,0,68368,447,161440,536,0,1,2,2
1771971703,38,1802310,3607408,0,4012744,6592,0,92,0,70212,461,163578,552,0,1,2,2
1771971705,40,1802309,3607408,0,4012744,6592,0,92,0,78004,490,168309,587,0,1,2,2
1771971707,42,1802310,3607408,0,4012744,6592,0,92,0,81951,500,170902,601,0,1,2,2
1771971709,44,1802310,3607408,0,4012744,6592,0,92,0,85263,529,190034,634,0,1,2,2
1771971711,46,1802310,3607408,0,4012744,6592,0,92,0,86313,533,191418,640,0,1,2,2
1771971713,48,1802310,3607408,0,4012744,6592,0,92,0,90447,564,195750,672,0,1,2,2
1771971715,50,1802310,3607408,0,4012744,6592,0,92,0,95010,584,199263,696,0,1,2,2
1771971717,52,1802311,3607408,0,4012744,6592,0,92,0,97220,598,217247,715,0,1,2,2
1771971719,54,1802310,3607408,0,4012744,6592,0,92,0,99150,613,219439,732,0,1,2,2
1771971721,56,1802310,3607408,0,4012744,6592,0,92,0,100442,621,221217,742,0,1,2,2
1771971723,58,1802310,3607408,0,4012744,6592,0,92,0,106925,658,241786,786,0,1,2,2
1771971725,60,1802309,3607408,0,4012744,6592,0,92,0,108800,670,253246,801,0,1,2,2
1771971727,62,1802311,3607408,0,4012744,6592,0,92,0,109850,674,254630,807,0,1,2,2
1771971729,64,1802309,3607408,0,4012744,6592,0,92,0,115993,708,274971,848,0,1,2,2
1771971731,66,1802310,3607408,0,4012744,6592,0,92,0,117043,712,276355,854,0,1,2,2
1771971733,68,1802310,3607408,0,4012744,6592,0,92,0,119421,732,279149,877,0,1,2,2
1771971735,70,1802310,3607408,0,4012744,6592,0,92,0,124948,757,298802,909,0,1,2,2
1771971737,72,1802310,3607408,0,4012744,6592,0,92,0,126050,762,300304,917,0,1,2,2
1771971739,74,1802310,3607408,0,4012744,6592,0,92,0,128090,779,302972,939,0,1,2,2
1771971741,76,1802309,3607408,0,4012744,6592,0,92,0,132037,789,305565,953,0,1,2,2
1771971743,78,1802310,3607408,0,4012744,6592,0,92,0,138165,841,327647,1011,0,1,2,2
1771971745,80,1802310,3607408,0,4012744,6592,0,92,0,139960,855,329918,1026,0,1,2,2
1771971747,82,1802310,3607408,0,4012744,6592,0,92,0,141010,859,331302,1032,0,1,2,2
1771971749,84,1802311,3607408,0,4012744,6592,0,92,0,147858,899,352462,1079,0,1,2,2
1771971751,86,1802310,3607408,0,4012744,6592,0,92,0,149702,914,354848,1096,0,1,2,2
1771971753,88,1802310,3607408,0,4012744,6592,0,92,0,152071,934,357485,1117,0,1,2,2
1771971755,90,1802310,3607408,0,4012744,6592,0,92,0,163604,964,362998,1159,0,1,2,2
1771971757,92,1802310,3607408,0,4012744,6592,0,92,0,165814,978,380982,1178,0,1,2,2
1771971759,94,1802311,3607408,0,4012744,6592,0,92,0,167658,992,383120,1194,0,1,2,2
1771971761,96,1802309,3607408,0,4012744,6592,0,92,0,169036,1001,384952,1205,0,1,2,2
1771971763,98,1802309,3607408,0,4012744,6592,0,92,0,174937,1031,404899,1242,0,1,2,2
1771971765,100,1802311,3607408,0,4012744,6592,0,92,0,182643,1059,409576,1276,0,1,2,2
1771971767,102,1802310,3607408,0,4012744,6592,0,92,0,183693,1063,410960,1282,0,1,2,2
1771971769,104,1802310,3607408,0,4012744,6592,0,92,0,188676,1087,414701,1310,0,1,2,2
1771971771,106,1802310,3607408,0,4012744,6592,0,92,0,190952,1102,432751,1330,0,1,2,2
1771971773,108,1802311,3607408,0,4012744,6592,0,92,0,195839,1143,437982,1374,0,1,2,2
1771971775,110,1802310,3607408,0,4012744,6592,0,92,0,197131,1151,439760,1384,0,1,2,2
1771971777,112,1802311,3607408,0,4012744,6592,0,92,0,202238,1171,458953,1411,0,1,2,2
1771971779,114,1802310,3607408,0,4012744,6592,0,92,0,204082,1185,461091,1427,0,1,2,2
1771971781,116,1802311,3607408,0,4012744,6592,0,92,0,205374,1193,462869,1437,0,1,2,2
1771971783,118,1802311,3607408,0,4012744,6592,0,92,0,209873,1209,465822,1457,0,1,2,2
1771971785,120,1802309,3607408,0,4012744,6592,0,92,0,213147,1235,494273,1489,0,1,2,2
1771971787,122,1802310,3607408,0,4012744,6592,0,92,0,214197,1239,495657,1495,0,1,2,2
1771971789,124,1802310,3607408,0,4012744,6592,0,92,0,216041,1253,497795,1511,0,1,2,2
1771971791,126,1802311,3607408,0,4012744,6592,0,92,0,221476,1278,517436,1543,0,1,2,2
1771971793,128,1802310,3607408,0,4012744,6592,0,92,0,223799,1297,520175,1565,0,1,2,2
1771971795,130,1802309,3607408,0,4012744,6592,0,92,0,225077,1305,522005,1576,0,1,2,2
1771971797,132,1802311,3607408,0,4012744,6592,0,92,0,230479,1328,541381,1606,0,1,2,2
1771971799,134,1802311,3607408,0,4012744,6592,0,92,0,232453,1344,543917,1626,0,1,2,2
1771971801,136,1802311,3607408,0,4012744,6592,0,92,0,233503,1348,545301,1632,0,1,2,2
