Time,wtime,pss,rss,swap,vmem,rchar,read_bytes,wchar,write_bytes,rx_bytes,rx_packets,tx_bytes,tx_packets,stime,utime,nprocs,nthreads
1771974552,0,1551,10448,0,1205200,6592,0,18735191,18735104,3389,29,4188,32,0,0,4,20
1771974554,2,1503,10448,0,1205200,6592,0,198754391,198754304,8206,76,9603,81,1,0,4,20
1771974556,4,1551,10448,0,1205200,6592,0,378671191,378671104,14112,107,29803,119,3,0,4,20
1771974558,6,1553,10448,0,1205200,6592,0,559095895,559095808,18510,140,34227,153,5,0,4,20
1771974560,8,1551,10448,0,1205200,6592,0,739782743,739782656,20044,152,36399,167,6,1,4,20
1771974562,10,1553,10448,0,1205200,6592,0,919097431,919097344,27618,192,58087,213,8,1,4,20
1771974564,12,1552,10448,0,1205200,6592,0,1099386967,1099386880,29528,207,60319,230,9,1,4,20
1771974566,14,1530,10448,0,1205200,6592,0,1279889495,1279889408,30820,215,62097,240,11,1,4,20
1771974568,16,1551,10448,0,1205200,6592,0,1460101207,1460101120,37786,251,67545,279,13,2,4,20
1771974570,18,1551,10448,0,1205200,6592,0,1640874071,1640873984,40480,273,86317,306,14,2,4,20
1771974572,20,1555,10448,0,1205200,6592,0,1819983959,1819983872,43997,297,90196,331,16,2,4,20
1771974574,22,1555,10448,0,1205200,6592,0,2000797783,2000797696,45841,311,92334,347,18,2,4,20
1771974576,24,1551,10448,0,1205200,6592,0,2181443671,2181443584,51190,335,111921,378,19,2,4,20
1771974578,26,1552,10448,0,1205200,6592,0,2360905815,2360905728,55259,365,116160,409,21,3,4,20
1771974580,28,1555,10448,0,1205200,6592,0,2541326423,2541326336,56793,377,118332,423,22,3,4,20
1771974582,30,1551,10448,0,1205200,6592,0,2716721239,2716721152,64643,421,140448,473,24,3,4,20
1771974584,32,1547,10448,0,1205200,6592,0,2896998487,2896998400,66487,435,142586,489,26,3,4,20
1771974586,34,1551,10448,0,1205200,6592,0,3077517399,3077517312,79346,485,152824,536,27,4,4,20
1771974588,36,1555,10448,0,1205200,6592,0,3257565271,3257565184,100612,565,166347,609,29,4,4,20
1771974590,38,1551,10448,0,1205200,6592,0,3438162007,3438161920,109786,608,188018,660,31,4,4,20
1771974592,40,1553,10448,0,1205200,6592,0,3617775703,3617775616,113303,632,191897,685,32,4,4,20
1771974594,42,1555,10448,0,1205200,6592,0,3798024279,3798024192,115213,647,194129,702,34,5,4,20
1771974596,44,1552,10448,0,1205200,6592,0,3978612823,3978612736,121136,677,214298,739,35,5,4,20
1771974598,46,1552,10448,0,1205200,6592,0,4159066199,4159066112,124631,701,217955,764,37,5,4,20
1771974600,48,1551,10448,0,1205200,6592,0,4338843735,4338843648,126165,713,220127,778,39,5,4,20
1771974602,50,1553,10448,0,1205200,6592,0,4518457431,4518457344,133739,753,241815,824,40,6,4,20
1771974604,52,1534,10448,0,1205200,6592,0,4698792023,4698791936,135583,767,243953,840,42,6,4,20
1771974606,54,1552,10448,0,1205200,6592,0,4878811223,4878811136,140961,800,258275,876,43,6,4,20
1771974608,56,1556,10448,0,1205200,6592,0,5059190871,5059190784,148072,839,263834,917,45,6,4,20
1771974610,58,1555,10448,0,1205200,6592,0,5239574615,5239574528,151875,874,284063,958,47,7,4,20
1771974612,60,1552,10448,0,1205200,6592,0,5419421783,5419421696,155369,902,288236,985,48,7,4,20
1771974614,62,1555,10448,0,1205200,6592,0,5599850583,5599850496,158250,928,290903,1011,50,7,4,20
1771974616,64,1552,10448,0,1205200,6592,0,5780070487,5780070400,164545,962,311500,1052,52,7,4,20
1771974618,66,1556,10448,0,1205200,6592,0,5960577111,5960577024,168733,993,315894,1086,53,8,4,20
1771974620,68,1553,10448,0,1205200,6592,0,6141141079,6141140992,170141,1003,318072,1100,55,8,4,20
1771974622,70,1553,10448,0,1205200,6592,0,6320431191,6320431104,177517,1040,339760,1146,57,8,4,20
1771974624,72,1552,10448,0,1205200,6592,0,6500032599,6500032512,179517,1056,341992,1163,58,8,4,20
1771974626,74,1553,10448,0,1205200,6592,0,6679502935,6679502848,181383,1070,344352,1179,60,8,4,20
1771974628,76,1555,10448,0,1205200,6592,0,6859984983,6859984896,187775,1100,349218,1212,61,9,4,20
1771974630,78,1551,10448,0,1205200,6592,0,7040827479,7040827392,190469,1122,367990,1239,63,9,4,20
1771974632,80,1556,10448,0,1205200,6592,0,7220097111,7220097024,194262,1150,372297,1268,65,9,4,20
1771974634,82,1555,10448,0,1205200,6592,0,7400321111,7400321024,196106,1164,374435,1284,66,9,4,20
1771974636,84,1556,10448,0,1205200,6592,0,7581048919,7581048832,200869,1184,378004,1308,68,10,4,20
1771974638,86,1551,10448,0,1205200,6592,0,7760789591,7760789504,205668,1220,398405,1348,70,10,4,20
1771974640,88,1552,10448,0,1205200,6592,0,7941410903,7941410816,207202,1232,400577,1362,71,10,4,20
1771974642,90,1552,10448,0,1205200,6592,0,8119611479,8119611392,210719,1256,404456,1387,73,10,4,20
1771974644,92,1556,10448,0,1205200,6592,0,8298659927,8298659840,216686,1287,424403,1424,74,11,4,20
1771974646,94,1551,10448,0,1205200,6592,0,8478879831,8478879744,218552,1301,426763,1440,76,11,4,20
1771974648,96,1556,10448,0,1205200,6592,0,8658632791,8658632704,222047,1325,430420,1465,78,11,4,20
1771974650,98,1551,10448,0,1205200,6592,0,8839245911,8839245824,230601,1360,451277,1508,79,11,4,20
1771974652,100,1556,10448,0,1205200,6592,0,9019015255,9019015168,237635,1398,457179,1549,81,11,4,20
1771974654,102,1556,10448,0,1205200,6592,0,9198891095,9198891008,239545,1413,459411,1566,83,12,4,20
1771974656,104,1556,10448,0,1205200,6592,0,9379237975,9379237888,245991,1444,464749,1601,84,12,4,20
1771974658,106,1551,10448,0,1205200,6592,0,9541660759,9541660672,248963,1467,483237,1628,86,12,4,20
1771974660,108,1555,10448,0,1205200,6592,0,9721811031,9721810944,250497,1479,485409,1642,87,12,4,20
1771974662,110,1551,10448,0,1205200,6592,0,9882959959,9882959872,254290,1507,489716,1671,89,13,4,20
1771974664,112,1556,10448,0,1205200,6592,0,10053865559,10053865472,260191,1537,509663,1708,90,13,4,20
1771974666,114,1553,10448,0,1205200,6592,0,10233921623,10233921536,270911,1643,1852713,1807,92,13,4,20
1771974668,116,1555,10448,0,1205200,6592,0,10414305367,10414305280,275346,1677,1857312,1844,94,13,4,20
1771974670,118,1551,10448,0,1205200,6592,0,10594586711,10594586624,281359,1709,1878007,1884,95,14,4,20
1771974672,120,1556,10448,0,1205200,6592,0,10775130199,10775130112,284876,1733,1881886,1909,97,14,4,20
1771974674,122,1551,10448,0,1205200,6592,0,10954797143,10954797056,287321,1754,1884681,1932,98,14,4,20
1771974676,124,1551,10448,0,1205200,6592,0,11134767191,11134767104,291805,1771,1887851,1953,100,14,4,20
1771974678,126,1555,10448,0,1205200,6592,0,11315208279,11315208192,297607,1818,1909237,2003,102,15,4,20
1771974680,128,1555,10448,0,1205200,6592,0,11495805015,11495804928,299696,1837,1912020,2024,103,15,4,20
1771974682,130,1556,10448,0,1205200,6592,0,11675775063,11675774976,303713,1867,1916323,2053,105,15,4,20
1771974684,132,1555,10448,0,1205200,6592,0,11855425623,11855425536,310320,1906,1937044,2099,107,15,4,20
1771974686,134,1531,10448,0,1205200,6592,0,12035481687,12035481600,312114,1920,1939314,2114,108,15,4,20
1771974688,136,1555,10448,0,1205200,6592,0,12208857175,12208857088,316495,1953,1943671,2147,110,16,4,20
1771974690,138,1556,10448,0,1205200,6592,0,12389843031,12389842944,320929,1971,1947055,2169,111,16,4,20
1771974692,140,1556,10448,0,1205200,6592,0,12570320983,12570320896,325474,2003,1967402,2205,113,16,4,20
1771974694,142,1556,10448,0,1205200,6592,0,12750200919,12750200832,327318,2017,1969540,2221,114,16,4,20
1771974696,144,1552,10448,0,1205200,6592,0,12930900055,12930899968,328610,2025,1971318,2231,116,17,4,20
1771974698,146,1553,10448,0,1205200,6592,0,13110935639,13110935552,336736,2071,1993366,2283,118,17,4,20
1771974700,148,1551,10448,0,1205200,6592,0,13291581527,13291581440,338270,2083,1995538,2297,119,17,4,20
1771974702,150,1555,10448,0,1205200,6592,0,13472010327,13472010240,341787,2107,1999417,2322,121,17,4,20
