Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771973132	1	820510	823528	0	6006372	6592	0	88	0	4721	44	5450	44	0	0	1	1
1771973134	3	3381182	3384180	0	6006372	6592	0	88	0	7440	68	8573	69	0	2	1	1
1771973136	5	5401129	5404128	0	6006372	6592	0	88	0	15312	146	17745	148	1	3	1	1
1771973138	7	6000744	24004672	0	24025488	6592	0	88	0	22021	184	38744	195	1	4	4	4
1771973140	9	6000745	24004672	0	24025488	6592	0	88	0	23741	197	41138	212	1	4	4	4
1771973142	11	6000744	24004672	0	24025488	6592	0	88	0	26174	217	44105	234	1	4	4	4
1771973144	13	6000745	24004672	0	24025488	6592	0	88	0	34153	269	66624	296	1	4	4	4
1771973146	15	6000745	24004672	0	24025488	6592	0	88	0	41731	344	75840	377	1	4	4	4
1771973148	17	6000744	24004672	0	24025488	6592	0	88	0	51964	399	83226	441	1	4	4	4
1771973150	19	6000745	24004672	0	24025488	6592	0	88	0	57184	421	102816	472	1	4	4	4
1771973152	21	6000744	24004672	0	24025488	6592	0	88	0	58234	425	104200	478	1	4	4	4
1771973154	23	6000745	24004672	0	24025488	6592	0	88	0	62610	460	108926	514	1	4	4	4
1771973156	25	6000737	24004672	0	24025488	6592	0	88	0	67893	483	128513	545	1	4	4	4
1771973158	27	6000744	24004672	0	24025488	6592	0	88	0	69737	497	130651	561	1	4	4	4
1771973160	29	6000744	24004672	0	24025488	6592	0	88	0	71029	505	132429	571	1	4	4	4
1771973162	31	6000744	24004672	0	24025488	6592	0	88	0	76070	524	151622	598	1	4	4	4
1771973164	33	6000744	24004672	0	24025488	6592	0	88	0	98675	706	2665913	781	1	4	4	4
1771973166	35	6000744	24004672	0	24025488	6592	0	88	0	100022	716	2676677	793	1	4	4	4
1771973168	37	6000745	24004672	0	24025488	6592	0	88	0	106804	751	2698030	838	1	4	4	4
1771973170	39	6000744	24004672	0	24025488	6592	0	88	0	108096	759	2699808	848	1	4	4	4
1771973172	41	6000744	24004672	0	24025488	6592	0	88	0	109146	763	2701192	854	1	4	4	4
1771973174	43	6000745	24004672	0	24025488	6592	0	88	0	115373	801	2721652	899	1	4	4	4
1771973176	45	6000745	24004672	0	24025488	6592	0	88	0	116961	812	2723614	912	1	4	4	4
1771973178	47	6000745	24004672	0	24025488	6592	0	88	0	119416	829	2726448	931	1	4	4	4
1771973180	49	6000745	24004672	0	24025488	6592	0	88	0	124699	852	2746035	962	1	4	4	4
1771973182	51	6000744	24004672	0	24025488	6592	0	88	0	125224	854	2746727	965	1	4	4	4
1771973184	53	6000745	24004672	0	24025488	6592	0	88	0	129834	892	2751663	1004	1	4	4	4
1771973186	55	6000744	24004672	0	24025488	6592	0	88	0	135117	915	2771250	1035	1	4	4	4
1771973188	57	6000745	24004672	0	24025488	6592	0	88	0	137486	931	2774080	1054	1	4	4	4
1771973190	59	6000744	24004672	0	24025488	6592	0	88	0	138253	937	2775166	1061	1	4	4	4
1771973192	61	6000745	24004672	0	24025488	6592	0	88	0	143294	956	2794359	1088	1	4	4	4
1771973194	63	6000745	24004672	0	24025488	6592	0	88	0	145138	970	2796497	1104	1	4	4	4
1771973196	65	6000744	24004672	0	24025488	6592	0	88	0	146430	978	2798275	1114	1	4	4	4
