Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771973816	1	1846	36944	0	152928	6592	0	55	0	6459	65	7832	72	0	2	24	24
1771973818	3	1778	36944	0	152928	6592	0	55	0	9792	97	11454	106	0	9	24	24
1771973820	5	1847	36944	0	152928	6592	0	55	0	18264	145	35109	168	0	17	24	24
1771973822	7	1847	36944	0	152928	6592	0	55	0	20031	161	37175	187	0	24	24	24
1771973824	9	1846	36944	0	152928	6592	0	55	0	22370	176	40009	206	0	33	24	24
1771973826	11	1819	36944	0	152928	6592	0	55	0	30001	218	71142	259	0	40	24	24
1771973828	13	1846	36944	0	152928	6592	0	55	0	32128	230	73578	274	0	48	24	24
1771973830	15	1846	36944	0	152928	6592	0	55	0	33513	243	75640	291	0	55	24	24
1771973832	17	1825	36944	0	152928	6592	0	55	0	40314	274	96745	331	0	63	24	24
1771973834	19	1847	36944	0	152928	6592	0	55	0	43166	295	100262	357	0	71	24	24
1771973836	21	1847	36944	0	152928	6592	0	55	0	46574	322	104387	389	0	79	24	24
1771973838	23	1847	36944	0	152928	6592	0	55	0	52606	351	124655	427	0	87	24	24
1771973840	25	1847	36944	0	152928	6592	0	55	0	54582	367	127541	449	0	94	24	24
1771973842	27	1831	36944	0	152928	6592	0	55	0	57392	383	130837	468	0	102	24	24
1771973844	29	1847	36944	0	152928	6592	0	55	0	63805	419	151430	512	0	109	24	24
1771973846	31	1847	36944	0	152928	6592	0	55	0	67851	450	156244	547	0	117	24	24
1771973848	33	1846	36944	0	152928	6592	0	55	0	69909	465	158484	564	0	125	24	24
1771973850	35	1846	36944	0	152928	6592	0	55	0	76299	501	179592	611	0	132	24	24
1771973852	37	1847	36944	0	152928	6592	0	55	0	79546	522	183381	635	0	141	24	24
1771973854	39	1818	36944	0	152928	6592	0	55	0	93181	565	191877	689	0	148	24	24
1771973856	41	1846	36944	0	152928	6592	0	55	0	121821	671	226348	793	0	155	24	24
1771973858	43	1846	36944	0	152928	6592	0	55	0	123423	681	228092	805	0	163	24	24
1771973860	45	1846	36944	0	152928	6592	0	55	0	125333	696	230846	825	0	171	24	24
1771973862	47	1847	36944	0	152928	6592	0	55	0	132134	727	251951	865	0	179	24	24
1771973864	49	1847	36944	0	152928	6592	0	55	0	133912	740	254089	881	0	186	24	24
1771973866	51	1790	36944	0	152928	6592	0	55	0	137550	766	258505	912	0	194	24	24
1771973868	53	1847	36944	0	152928	6592	0	55	0	150007	816	281513	975	0	201	24	24
1771973870	55	1846	36944	0	152928	6592	0	55	0	151920	831	284270	995	0	209	24	24
1771973872	57	1846	36944	0	152928	6592	0	55	0	155028	851	288060	1019	0	217	24	24
1771973874	59	1847	36944	0	152928	6592	0	55	0	160929	881	308101	1057	0	225	24	24
1771973876	61	1816	36944	0	152928	6592	0	55	0	164687	909	312373	1086	0	233	24	24
1771973878	63	1847	36944	0	152928	6592	0	55	0	166289	919	314117	1098	0	240	24	24
1771973880	65	1847	36944	0	152928	6592	0	55	0	172388	952	334680	1139	0	248	24	24
1771973882	67	1818	36944	0	152928	6592	0	55	0	175606	974	338404	1162	0	256	24	24
1771973884	69	1847	36944	0	152928	6592	0	55	0	177450	988	340542	1178	0	263	24	24
1771973886	71	1846	36944	0	152928	6592	0	55	0	185779	1035	372298	1233	0	271	24	24
1771973888	73	1809	36944	0	152928	6592	0	55	0	187381	1045	374042	1245	0	278	24	24
1771973890	75	1844	36944	0	152928	6592	0	55	0	189489	1063	376796	1265	0	286	24	24
1771973892	77	1846	36944	0	152928	6592	0	55	0	196422	1096	397901	1305	0	294	24	24
1771973894	79	1847	36944	0	152928	6592	0	55	0	199107	1121	401088	1332	0	302	24	24
1771973896	81	1846	36944	0	152928	6592	0	55	0	203712	1160	406333	1371	0	310	24	24
1771973898	83	1847	36944	0	152928	6592	0	55	0	209744	1189	426601	1409	0	317	24	24
1771973900	85	1847	36944	0	152928	6592	0	55	0	223164	1323	442647	1554	0	325	24	24
1771973902	87	1847	36944	0	152928	6592	0	55	0	224458	1329	444097	1561	0	332	24	24
1771973904	89	1846	36944	0	152928	6592	0	55	0	231397	1371	465130	1612	0	341	24	24
1771973906	91	1847	36944	0	152928	6592	0	55	0	235541	1403	469654	1645	0	348	24	24
1771973908	93	1847	36944	0	152928	6592	0	55	0	237160	1413	471399	1657	0	356	24	24
1771973910	95	1837	36944	0	152928	6592	0	55	0	243259	1446	491962	1698	0	364	24	24
1771973912	97	1847	36944	0	152928	6592	0	55	0	246345	1466	495402	1719	0	371	24	24
1771973914	99	1824	36944	0	152928	6592	0	55	0	259044	1507	501090	1762	0	379	24	24
1771973916	101	1820	36944	0	152928	6592	0	55	0	267296	1556	523598	1816	0	386	24	24
1771973918	103	1846	36944	0	152928	6592	0	55	0	269919	1577	535614	1839	0	394	24	24
1771973920	105	1847	36944	0	152928	6592	0	55	0	272008	1596	538397	1860	0	401	24	24
1771973922	107	1847	36944	0	152928	6592	0	55	0	280294	1645	560939	1914	0	409	24	24
1771973924	109	1847	36944	0	152928	6592	0	55	0	282160	1659	563083	1930	0	417	24	24
1771973926	111	1847	36944	0	152928	6592	0	55	0	285918	1687	567355	1959	0	425	24	24
1771973928	113	1847	36944	0	152928	6592	0	55	0	297859	1731	589807	2016	0	433	24	24
1771973930	115	1847	36944	0	152928	6592	0	55	0	299393	1743	591979	2030	0	440	24	24
1771973932	117	1847	36944	0	152928	6592	0	55	0	303053	1769	596001	2057	0	448	24	24
1771973934	119	1847	36944	0	152928	6592	0	55	0	308954	1799	616042	2095	0	456	24	24
1771973936	121	1847	36944	0	152928	6592	0	55	0	312800	1828	620380	2125	0	463	24	24
1771973938	123	1847	36944	0	152928	6592	0	55	0	314402	1838	622124	2137	0	471	24	24
1771973940	125	1847	36944	0	152928	6592	0	55	0	319927	1865	642105	2172	0	478	24	24
