Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771971010	1	802489	1607804	0	2012744	6592	0	91	0	5270	53	6786	61	0	0	2	2
1771971012	3	802490	1607804	0	2012744	6592	0	91	0	19740	203	22640	204	0	0	2	2
1771971014	5	802490	1607804	0	2012744	6592	0	91	0	28164	263	45498	269	0	0	2	2
1771971016	7	802488	1607804	0	2012744	6592	0	91	0	32645	307	50339	312	0	0	2	2
1771971018	9	802486	1607804	0	2012744	6592	0	91	0	34759	323	52669	331	0	0	2	2
1771971020	11	802490	1607804	0	2012744	6592	0	91	0	40045	346	72259	362	0	0	2	2
1771971022	13	802488	1607804	0	2012744	6592	0	91	0	43505	369	76279	389	0	0	2	2
1771971024	15	802488	1607804	0	2012744	6592	0	91	0	45747	389	78905	410	0	0	2	2
1771971026	17	802486	1607804	0	2012744	6592	0	91	0	49694	399	81498	424	0	0	2	2
1771971028	19	802482	1607804	0	2012744	6592	0	91	0	52698	423	100236	453	0	0	2	2
1771971030	21	802487	1607804	0	2012744	6592	0	91	0	79491	512	118001	528	0	0	2	2
1771971032	23	802487	1607804	0	2012744	6592	0	91	0	80541	516	119385	534	0	0	2	2
1771971034	25	802490	1607804	0	2012744	6592	0	91	0	86816	552	139858	577	0	0	2	2
1771971036	27	802490	1607804	0	2012744	6592	0	91	0	87866	556	141242	583	0	0	2	2
1771971038	29	802490	1607804	0	2012744	6592	0	91	0	89710	570	143380	599	0	0	2	2
1771971040	31	802489	1607804	0	2012744	6592	0	91	0	101407	613	165866	654	0	0	2	2
1771971042	33	802490	1607804	0	2012744	6592	0	91	0	102457	617	167250	660	0	0	2	2
1771971044	35	802467	1607804	0	2012744	6592	0	91	0	104543	635	169782	680	0	0	2	2
1771971046	37	802487	1607804	0	2012744	6592	0	91	0	109650	655	188975	707	0	0	2	2
1771971048	39	802488	1607804	0	2012744	6592	0	91	0	111494	669	191113	723	0	0	2	2
1771971050	41	802486	1607804	0	2012744	6592	0	91	0	112786	677	192891	733	0	0	2	2
1771971052	43	802486	1607804	0	2012744	6592	0	91	0	119341	709	198120	768	0	0	2	2
1771971054	45	802489	1607804	0	2012744	6592	0	91	0	122653	738	217280	801	0	0	2	2
1771971056	47	802489	1607804	0	2012744	6592	0	91	0	123703	742	218664	807	0	0	2	2
1771971058	49	802488	1607804	0	2012744	6592	0	91	0	125833	760	221174	826	0	0	2	2
1771971060	51	802488	1607804	0	2012744	6592	0	91	0	132107	794	242034	868	0	0	2	2
1771971062	53	802488	1607804	0	2012744	6592	0	91	0	133660	804	243911	879	0	0	2	2
1771971064	55	802490	1607804	0	2012744	6592	0	91	0	154353	1024	2779420	1144	0	0	2	2
1771971066	57	802482	1607804	0	2012744	6592	0	91	0	159963	1050	2799106	1176	0	0	2	2
1771971068	59	802488	1607804	0	2012744	6592	0	91	0	162412	1071	2801807	1198	0	0	2	2
1771971070	61	802489	1607804	0	2012744	6592	0	91	0	163706	1079	2803587	1208	0	0	2	2
1771971072	63	802486	1607804	0	2012744	6592	0	91	0	168813	1099	2822780	1235	0	0	2	2
1771971074	65	802490	1607804	0	2012744	6592	0	91	0	171497	1124	2825966	1262	0	0	2	2
1771971076	67	802489	1607804	0	2012744	6592	0	91	0	172842	1131	2827533	1271	0	0	2	2
1771971078	69	802489	1607804	0	2012744	6592	0	91	0	177603	1151	2830884	1295	0	0	2	2
1771971080	71	802490	1607804	0	2012744	6592	0	91	0	180121	1170	2849262	1318	0	0	2	2
1771971082	73	802490	1607804	0	2012744	6592	0	91	0	183635	1194	2853138	1343	0	0	2	2
1771971084	75	802487	1607804	0	2012744	6592	0	91	0	185787	1213	2855764	1364	0	0	2	2
1771971086	77	802486	1607804	0	2012744	6592	0	91	0	190894	1233	2874957	1391	0	0	2	2
1771971088	79	802481	1607804	0	2012744	6592	0	91	0	192738	1247	2877095	1407	0	0	2	2
1771971090	81	802486	1607804	0	2012744	6592	0	91	0	194030	1255	2878873	1417	0	0	2	2
1771971092	83	802488	1607804	0	2012744	6592	0	91	0	197977	1265	2881466	1431	0	0	2	2
1771971094	85	802488	1607804	0	2012744	6592	0	91	0	201589	1297	2900958	1470	0	0	2	2
1771971096	87	802488	1607804	0	2012744	6592	0	91	0	202639	1301	2902342	1476	0	0	2	2
1771971098	89	802486	1607804	0	2012744	6592	0	91	0	204483	1315	2904480	1492	0	0	2	2
1771971100	91	802489	1607804	0	2012744	6592	0	91	0	216246	1359	2926966	1547	0	0	2	2
1771971102	93	802490	1607804	0	2012744	6592	0	91	0	217296	1363	2928350	1553	0	0	2	2
1771971104	95	802487	1607804	0	2012744	6592	0	91	0	219382	1381	2930882	1573	0	0	2	2
1771971106	97	802490	1607804	0	2012744	6592	0	91	0	223329	1391	2933475	1587	0	0	2	2
1771971108	99	802488	1607804	0	2012744	6592	0	91	0	226333	1415	2952213	1616	0	0	2	2
1771971110	101	802490	1607804	0	2012744	6592	0	91	0	227625	1423	2953991	1626	0	0	2	2
1771971112	103	802488	1607804	0	2012744	6592	0	91	0	231283	1449	2958011	1653	0	0	2	2
1771971114	105	802486	1607804	0	2012744	6592	0	91	0	237426	1483	2978446	1695	0	0	2	2
1771971116	107	802488	1607804	0	2012744	6592	0	91	0	238476	1487	2979830	1701	0	0	2	2
1771971118	109	802490	1607804	0	2012744	6592	0	91	0	240320	1501	2981968	1717	0	0	2	2
1771971120	111	802488	1607804	0	2012744	6592	0	91	0	244509	1515	2984955	1735	0	0	2	2
1771971122	113	802488	1607804	0	2012744	6592	0	91	0	247141	1533	3003653	1759	0	0	2	2
1771971124	115	802486	1607804	0	2012744	6592	0	91	0	249807	1555	3015863	1784	0	0	2	2
1771971126	117	802486	1607804	0	2012744	6592	0	91	0	250857	1559	3017247	1790	0	0	2	2
1771971128	119	802488	1607804	0	2012744	6592	0	91	0	256758	1589	3037194	1827	0	0	2	2
1771971130	121	802490	1607804	0	2012744	6592	0	91	0	258605	1604	3039583	1844	0	0	2	2
1771971132	123	802489	1607804	0	2012744	6592	0	91	0	260158	1614	3041460	1855	0	0	2	2
1771971134	125	802488	1607804	0	2012744	6592	0	91	0	267427	1661	3062957	1908	0	0	2	2
1771971136	127	802489	1607804	0	2012744	6592	0	91	0	268982	1671	3064836	1919	0	0	2	2
1771971138	129	802488	1607804	0	2012744	6592	0	91	0	271417	1692	3067605	1942	0	0	2	2
1771971140	131	802488	1607804	0	2012744	6592	0	91	0	275606	1706	3070592	1960	0	0	2	2
1771971142	133	802490	1607804	0	2012744	6592	0	91	0	280436	1742	3091202	2000	0	0	2	2
1771971144	135	802489	1607804	0	2012744	6592	0	91	0	282678	1762	3093828	2021	0	0	2	2
1771971146	137	802488	1607804	0	2012744	6592	0	91	0	283728	1766	3095212	2027	0	0	2	2
1771971148	139	802490	1607804	0	2012744	6592	0	91	0	289629	1796	3115159	2064	0	0	2	2
1771971150	141	802487	1607804	0	2012744	6592	0	91	0	301871	1839	3124761	2104	0	0	2	2
1771971152	143	802484	1607804	0	2012744	6592	0	91	0	317544	1889	3134327	2145	0	0	2	2
1771971154	145	802489	1607804	0	2012744	6592	0	91	0	329739	1927	3140594	2197	0	0	2	2
1771971156	147	802488	1607804	0	2012744	6592	0	91	0	331949	1941	3158578	2216	0	0	2	2
1771971158	149	802489	1607804	0	2012744	6592	0	91	0	333793	1955	3160716	2232	0	0	2	2
